ID,Title,Year,Rank
af7cda0e-0635-4931-b597-2c52f51e978b,Two Weeks Notice,2002,"50/50"
f2de0c7c-daba-4ff5-a6b7-a6d3a2f14408,Miss Congeniality,2000,"30/70"
f579ce19-289b-4e81-9bcc-ff666f05bc3b,What's your number?,2011,"45/55"
64d0da5b-044f-4041-8fe2-5e6e289d6e37,Dirty Dancing,1987,"85/15"
830488ae-ec9c-47a1-a767-411738c51aa4,Holidate,2020,"60/40"
db16b8a9-a1be-4854-a59d-605700a20688,Leap Year,2010,"70/30"
e2831432-4259-4249-aacb-8784f490e9bb,The Wedding Date,2005,"65/35"
807e074f-c5d6-4654-9522-e53cf5febe75,Breakfast at Tiffany's,1961,"75/25"
4f2af5ff-a67d-4bf5-aa4a-fcdebe66c586,Murphy's Romance,1985,"80/20"
e372229e-3f79-46f1-aae4-746d0d5c6b6b,Four Weddings and a Funeral,1994,"55/45"
b1dbf54d-af16-44f5-9551-b1abf61d4e29,As Good as It Gets,1997,"60/40"
690d9370-78d6-4054-ab92-55ca0ffb2985,Elvis & Anabelle,2007,"85/15"
e24faf7e-8883-4ea3-a183-02c827b451d6,The Other End of the Line,2007,"75/25"
fbc17eaa-7ad1-46c4-8d76-865cb64362ed,The 40 Year Old Virgin,2005,"35/65"
807b3a19-f74b-41dc-a8e7-8d38c8b2e087,There's Something about Mary,1998,"25/75"
cce7acfe-a8cc-4406-806d-c7149051b7a3,She's Out of Your League,2010,"40/60"
6d8e701e-dd88-4f64-b698-a73ea8474d3c,The Vow,2012,"90/10"
e1a90dec-cde9-4a87-aed4-6bf15971ed4b,Meet Joe Black,1998,"85/15"
b40d11ee-3e89-4604-a947-6a7d1cba78b5,Runaway Bride,1999,"70/30"
aa5e1637-ff99-463e-a0c8-cc7b367c0393,Must Love Dogs,2005,"70/30"
130ba6df-e105-4af3-94ab-3535c70c8194,10 Things I Hate About You,1999,"55/45"
b4791185-8c69-4079-906a-6600a3edafcd,13 Going On 30,2004,"65/35"
8259ff73-2f38-4312-85da-13434994a0f0,17 Again,2009,"40/60"
475b57fd-6c30-4922-8599-e73b4655755c,27 Dresses,2008,"75/25"
04637bf5-9a7a-4b79-bc37-f9100dd26177,50 First Dates,2004,"60/40"
34d270b1-660f-4929-9d35-cb1495623b42,A Christmas Prince,2017,"80/20"
b4fa9313-06c5-4019-830e-c9daeb0e3585,A Christmas Prince: The Royal Wedding,2018,"85/15"
c0ebe43b-d628-42ed-850c-8dae72c5c19c,A Christmas Prince: The Royal Baby,2019,"82/18"
35d17ab3-913e-4e06-9d41-a19b003b88f3,A Cinderella Story,2004,"70/30"
98b01016-c763-4d2e-8950-aaf2bfc3c732,A Perfect Pairing,2022,"65/35"
e7550fa5-91c4-4a17-87a2-a79f65f25f59,About Fate,2022,"75/25"
27964bf3-13a9-4f0e-a40c-d2d0d955db06,About Last Night,1986,"50/50"
464bcaac-e567-47e4-b8f2-5b47acad244e,Alex & Emma,2003,"60/40"
5fdab567-8b67-460a-890f-971f56459b3f,Aloha,2015,"55/45"
82959431-8ff2-4157-9afa-a6768e3eb9ab,Along Came Polly,2004,"45/55"
9dcee195-467d-4a15-bae3-0f579e04427b,Always Be My Maybe,2019,"60/40"
9c4c9ab1-3691-434c-ae57-fce6480fc42a,Anyone But You,2023,"55/45"
9c84a6dc-7cee-4e2d-9e9c-252089909a7d,Because I Said So,2007,"65/35"
28ac1195-313a-42b0-a530-76afbdbb77db,Before We Go,2014,"80/20"
26a68000-d089-44b5-b513-72b0ec84acdc,Book Club,2018,"40/60"
7cb68df0-fbe9-41c3-81fd-e39d414c8ef6,Bridget Jones's Baby,2016,"55/45"
7fbcb9f3-b4c4-40f5-b960-29a7525c2861,Bridget Jones's Diary,2001,"50/50"
2ad9afc6-ad50-48e0-9377-02ff7434c6b0,Bridget Jones: The Edge of Reason,2004,"52/48"
2fb38b61-8b2f-4856-9156-df27b00c8fe6,Catch and Release,2007,"70/30"
dd6a02a4-df19-4766-ae5d-c10a261153e6,Christmas With the Campbells,2022,"55/45"
7b72134d-eb2d-4a1f-8ce7-9da593765f7c,Christmas With You,2022,"70/30"
087f4e7f-197c-4c6b-9cae-db575445927e,Confessions of a Shopaholic,2009,"40/60"
6295ba47-eea3-4c3f-8405-40f74ac0d37c,Crazy Rich Asians,2018,"65/35"
38b42392-00d3-433a-94cf-f861b6ae6394,Dating & New York,2021,"50/50"
568bf00a-e046-42e6-9c0c-cdb870e948e1,"Definitely, Maybe",2008,"75/25"
464b2bf9-8953-45ec-bd89-24441e3ea35d,Down With Love,2003,"45/55"
2030be18-d944-4615-a8e6-ec2789bb2beb,Easy A,2010,"30/70"
df7b08ae-5a17-4cd1-a2ee-38b869496c02,Elemental,2023,"60/40"
557efc7d-a8e1-464a-bc56-7cc023fe84a3,Enchanted,2007,"55/45"
2988cc83-9563-40ed-bf24-bf3b784feb0d,Exmas,2023,"45/55"
fa5c9ffc-aefa-48ac-ad54-3a635a6bab5a,Failure to Launch,2006,"35/65"
874b7ad9-22e3-47da-80e3-efab4236dab3,Falling for Christmas,2022,"65/35"
1376f9f0-d205-465c-9803-a292d760c532,Father of the Bride,1991,"25/75"
0095115f-c187-4f53-85b1-b30bc7a3e488,Father of the Bride,2022,"30/70"
2e517524-a3e5-489c-8507-2a5b2a57e8e0,Fever Pitch,2005,"55/45"
ab16c21a-26af-4386-bcff-b293854cce7a,Fire Island,2022,"60/40"
a9a737ab-a631-46d7-b781-0e8ad7835eda,Fools Rush In,1997,"70/30"
62c77eac-f612-430b-937f-c34174eca36b,Friends with Benefits,2011,"50/50"
172bb246-8776-40db-889a-4996dd3092ad,Ghosted,2023,"40/60"
9b4be71a-c64b-4e90-bc85-eb78714ab618,Ghosts of Girlsfriends Past,2009,"45/55"
c30807ed-a35c-4296-9eb3-0fd355e9329b,Going the Distance,2010,"65/35"
77f63b61-ac99-4ab2-b46f-5c21f06804ad,Happiest Season,2020,"60/40"
8abc56c3-f94e-4fbd-8e77-6bee0e8757b3,"Hello, Goodbye, And Everything In Between",2022,"80/20"
ce57df41-cca9-4fac-a9c7-a4896ff74ea9,"He's Just Not That Into You",2009,"55/45"
525457b8-3ed1-4af9-b3a3-d06534a47591,Hitch,2005,"70/30"
bad35b06-8d58-45a7-a7c6-d2d983507de7,Home Again,2017,"65/35"
4a821cff-7260-4706-adc2-4d0c82b9747c,How Do You Know,2010,"55/45"
b1ed1fdf-7f67-4047-a96a-7691c1c4ed19,How To Be Single,2016,"40/60"
e791b2b5-943e-4789-91ef-a8f44e1dbc0b,How to Lose a Guy in 10 Days,2003,"60/40"
e6aeaf95-3912-4c14-a528-65560fcd015d,I Could Never Be Your Woman,2007,"50/50"
140fa2c0-25af-43a4-89fd-77488a3fa9f9,I Love You Man,2009,"30/70"
590b7490-6f70-4593-bf5d-706a6d590740,I Want You Back,2022,"45/55"
90dd257f-be85-4e19-839f-2c30dde04824,Isn't It Romantic,2019,"35/65"
3e145980-0c41-4430-8bf4-8e44a15f5cfb,It's Complicated,2009,"55/45"
31bae47e-4601-4095-ab40-d3fb5c0a6645,Just Friends,2005,"40/60"
f31b7436-a688-4735-88fd-4384d3a5e67b,Just Go With It,2011,"50/50"
e620cbb5-49db-428a-b562-890306f9611b,Just Like Heaven,2005,"75/25"
5cd0893a-038c-4bba-8b1c-00f5056e563a,Just My Luck,2006,"60/40"
c12be7ea-ffea-42e0-958e-4e85d68de859,Let It Snow,2019,"70/30"
bd31ae9a-8655-44c3-b3d3-3ca6c8d69eef,Life as We Know It,2010,"65/35"
3045fc1d-0a41-4954-b2e7-4d71d3427e20,Little Italy,2018,"80/20"
b50e1cac-07ef-47c1-a616-08f0e0e2600e,Love Actually,2003,"70/30"
894f5f52-0639-483c-a3c0-f25dc8d0fa47,Love Again,2023,"85/15"
85320f74-90c7-487a-84ca-9fcd257cad82,Love at First Sight,2023,"90/10"
aec81cc5-4113-42cf-9302-dc7e70e34739,Love & Basketball,2000,"75/25"
3094ac58-b495-432e-af78-1e46d26639a0,Love & Gelato,2022,"80/20"
926add20-e9cc-45da-9f57-ed18cc855246,Love Hard,2021,"55/45"
11f1d6bc-755b-42bc-876d-a97c877f7440,Love in the Villa,2022,"75/25"
b7a2a419-8675-477d-83e6-a5b872946841,"Love, Rosie",2014,"65/35"
13251381-21ab-4d6e-a2cc-431cf73e6480,Made of Honor,2008,"70/30"
2cc40212-b1eb-4f95-b80b-b6cc0d3fb64f,Maid in Manhattan,2002,"65/35"
60b19343-c7e4-4b56-af25-0de720103711,Mamma Mia!,2008,"40/60"
603f2ba8-ffaf-4422-8799-2f1bb03a3441,Mamma Mia! Here We Go Again,2018,"45/55"
e9702038-8031-4286-a56c-24d76824fb96,Man Up,2015,"55/45"
d4ecacac-65a5-4efe-9d05-1cbd305dd557,Marry Me,2022,"75/25"
74989c5c-86ac-491a-b2b5-fe10478d7c93,Meet Cute,2022,"60/40"
ffff6be9-92bf-4570-9a8f-8eb860f0f313,Music & Lyrics,2007,"50/50"
241df5d1-893e-44bc-afd1-8b9067d58cd6,My Best Friend's Wedding,1997,"55/45"
863ad437-eb1b-4303-a393-4378f9ceba07,My Big Fat Greek Wedding,2002,"35/65"
6b739831-9e18-4a3a-a9d6-889f133a37c3,No Strings Attached,2010,"70/30"
f04abe90-6231-4639-9bd9-26e4e26ec317,One Day,2011,"80/20"
4eec8ed5-3c69-447f-9c04-a1d49d27f2c1,Only You,1994,"75/25"
9047c671-a137-49ad-b66b-cc4807e5392b,Palm Springs,2020,"30/70"
e0967268-5396-4b13-aa57-4af6613c6bd3,Perfect Find,2023,"65/35"
b0002487-c98f-4dc0-858c-670aea2cc4e2,Plus One,2019,"60/40"
41283a38-2d26-4a3f-9f8d-29d10bafd444,Puppy Love,2023,"70/30"
aa1cdb5a-8c19-4d53-80a9-9c17b4de6da6,Pretty Woman,1990,"65/35"
28f05fae-f5d8-4db2-bad1-4769e00e6df3,Princess Diaries,2001,"40/60"
f72930cd-1bbc-42b6-819e-a3f331550c30,Princess Diaries 2,2004,"45/55"
94df64c9-cb45-4975-ba60-d67319fbe36a,"Red, White & Royal Blue",2023,"75/25"
e0476662-5ab3-44f2-8b49-40711b737ca6,Rumor Has It...,2005,"50/50"
9af01c99-7b57-4e9e-8327-448c596a48c2,Rye Lane,2023,"45/55"
2937f1a2-2e96-453c-a623-e74b7e40138e,Set It Up,2018,"60/40"
b593ea17-79f2-479a-986b-fffcf4f88b0d,She's All That,1999,"55/45"
b8ce34ed-4137-41c4-a327-1462dff00bbb,She's The Man,2006,"30/70"
85047d8a-947b-4fc3-bb4c-76306fec42e4,Shotgun Wedding,2022,"40/60"
009478e4-0a43-49ae-8395-b64708f95b03,Single All the Way,2021,"55/45"
98d1aa43-762d-4de4-815c-9ed772473c46,Sleeping with Other People,2015,"65/35"
cb1545c0-0053-4a0f-9907-3f4c06b04d00,Someone Great,2019,"70/30"
fd270fc8-0bce-4b78-9594-e57b20c8e056,Something Borrowed,2011,"75/25"
81738ce5-a375-434a-bdbf-06bfa68ead42,Something's Gotta Give,2003,"60/40"
c704ea7f-6508-4d74-8ba7-ec118c5d9db6,Summer Catch,2001,"50/50"
1e98a8ad-350b-41c8-8cfa-8e87d2d99508,Sweet Home Alabama,2002,"80/20"
31464bda-8c86-41f8-a6d9-e89d3b495e35,Sydney White,2007,"45/55"
1647e8af-74a1-498d-a104-f73d6c9f2eb5,Taylor Swift x Travis Kelce: On The Map,2023,"90/10"
642dbc68-f5be-4fc3-b4ee-6b9ef752b5a4,The American President,1995,"70/30"
c3271adc-bc31-4c77-b51d-6267bd5abe66,The Big Wedding,2013,"35/65"
267a2ee7-0eff-4de0-a529-60880b104341,The Broken Hearts Gallery,2020,"60/40"
e7ee40ef-f0c6-4b4e-ad9e-998927df66ac,The Duff,2015,"40/60"
d0b3461e-5a8b-49ac-ae16-afd837ea88d2,The Family Stone,2005,"55/45"
daa2559b-244c-42f0-93d2-024ea6b97123,The Five-Year Engagement,2012,"65/35"
da576fce-7a01-429d-b805-599a027f5dc0,The Hating Game,2021,"75/25"
1a28bcee-a4e2-4297-bec6-6340bb0a1dba,The Holiday,2006,"85/15"
49f4f2f8-dbff-4451-9496-f2b1d87cb165,The Lost City,2022,"45/55"
c3de7b1d-730c-45f3-8c4b-b13f24564bae,The Lovebirds,2020,"50/50"
a2460998-a539-4fcd-bd5d-cc389096861b,The Map of Tiny Perfect Things,2021,"70/30"
52477d05-07b6-499a-8953-2e9453db1a8d,The Nanny Diaries,2007,"60/40"
2051c79a-95ae-40ed-96ce-5ac6c783ed19,The Noel Diary,2022,"80/20"
f8e28ceb-5d89-4fd6-b80b-a421ca0460f1,The Other Woman,2014,"30/70"
0599c97e-4a3d-4997-b322-795109a06c7b,The Other Zoey,2023,"70/30"
829a1b8b-b922-472b-bb91-d93a2c387c45,The Princess Switch,2018,"65/35"
e44b4046-156a-450f-9b15-8ef0876a7229,The Princess Switch: Switched Again,2020,"60/40"
2ce18946-f6ee-427f-9067-62c299e41174,The Princess Switch: Romancing the Star,2021,"55/45"
3a063260-46ff-4f5e-8754-af77d2ab6fb6,The Proposal,2009,"50/50"
5cfe690e-4126-42b6-af9a-1d3169bf4fb1,The Valet,2022,"45/55"
1538c16e-888a-4c78-bc3f-1a6553f82dca,The Wedding Planner,2005,"75/25"
bd37a237-0243-45de-b873-4bff53e865dd,The Wedding Singer,1998,"40/60"
cf7c0663-d5c6-4799-ad41-70d86c02bec3,This Is 40,2012,"30/70"
01e03a6e-5ee5-4c59-b470-2d4ee7bd0a7c,This Means War,2012,"55/45"
e1e4d26e-24b3-4873-a914-ea25992a017d,Ticket to Paradise,2022,"60/40"
51177f5c-cc52-4666-8bfb-4d185615f041,"To All the Boys I've Loved Before",2018,"80/20"
c38369d4-ccbe-49f2-b223-eee65bd890aa,"To All the Boys: Always and Forever, Lara Jean",2021,"75/25"
b1b2a32b-882e-47c2-81db-47353974f67b,To All the Boys: P.S. I Still Love You,2020,"70/30"
3494446b-b623-4114-ae81-9649767c06d7,Trainwreck,2015,"35/65"
6fec3e13-45b6-483c-a451-58e4b7a8e268,Two Night Stand,2014,"65/35"
54618074-baba-4965-bf26-98c4de9a626b,Valentine's Day,2010,"70/30"
d48643c6-2701-43a7-a0e0-5ad596e1e4de,Wedding Season,2022,"55/45"
81e8a95a-f29e-4245-a34f-f6e1ae927014,What A Girl Wants,2003,"60/40"
729496f4-39b9-47b5-9dea-053d8a576f92,What Happens in Vegas,2008,"45/55"
c150618c-3d52-4f05-8b94-5cc658f1a41b,What Happens Later,2023,"50/50"
796b0d37-fa1a-40cf-bf83-03ca5c58907d,What If,2013,"65/35"
dddeef3b-e5bf-465b-8358-7e6b65b9662d,"What's Love Got To Do With It?",2023,"75/25"
53f356f3-e486-456b-b227-1574bcbde0bd,What Men Want,2019,"40/60"
8f333e73-26b6-4f72-b8d1-01c1c2bfb294,When Harry Met Sally...,1989,"55/45"
5cbc6668-42fb-4839-b42f-81bd2ee0c597,When In Rome,2010,"55/45"
f66172a0-1868-4876-a7bb-f4f5b6b4f017,Which Brings Me To You,2023,"70/30"
7eef9fb3-0880-4a85-85ec-cadb6aa8ddf3,While You Were Sleeping,1995,"65/35"
7dc22c1f-2bbf-4e66-90d2-bd67a6df5dc9,Working Girl,1988,"40/60"
d427dbc0-8952-4441-8cc5-8217e9c7a488,You Again,2010,"30/70"
08cd46f2-0cb6-4e62-a8f9-726ce75837fc,Flipped,2010,"75/25"
fad4ac5a-34a1-4f36-bb20-4e08d746abcc,Little Manhattan,2005,"80/20"
f5450cb0-7024-4f7a-b31a-a9f1ff2d7c28,It's Kind of a Funny Story,2010,"25/75"
d6362d50-40e9-4e5b-b414-ef9c46b465b3,Eternal Sunshine of the Spotless Mind,2004,"60/40"
4b807598-0ede-40d1-8ed6-a249bdb73028,Me and Earl and the Dying Girl,2015,"35/65"
ff3d6a77-02b8-4039-8600-06b93a834049,Sing Street,2016,"50/50"
fdce8f32-bec8-44f7-9039-a954cb818702,The Art of Getting By,2011,"45/55"
7c927daa-71d6-4989-8a10-e35c97826f9f,The Fault in Our Stars,2014,"85/15"
64d806b4-4527-4874-9fd1-f5df3f167ad6,The Perks of Being a Wallflower,2012,"40/60"
7abd5791-c076-4b78-8451-350b19f0c848,"Crazy, Stupid, Love.",2011,"60/40"
407a3407-4597-4bdd-8f48-5c9ba6522c3b,Me Before You,2016,"90/10"
bd666359-7886-4b21-a57f-c3eaba49f8dd,50/50,2011,"20/80"
c0c8d901-8afe-4c24-b508-82c0b72e5f7e,Midnight in Paris,2011,"55/45"
8572512d-9661-45b7-8b88-9ac0825fff15,Before Sunrise,1995,"70/30"
10789ffc-fbad-4281-b5e3-8edf3a24f65e,Stranger Than Fiction,2006,"35/65"
78f3ba05-5c28-4cc4-86a6-42cc5388e80f,My Girl,1991,"65/35"
e2efc2ca-de21-4bcc-bd57-71e7b2a95634,Love & Other Drugs,2010,"75/25"
5184ea32-a670-4d19-9f98-6ddf1e4e4e42,Nick and Norah's Infinite Playlist,2008,"50/50"
61b6bbf8-824b-436c-98ae-0276c74038b3,Charlie Bartlett,2007,"30/70"
80f041ae-d092-470e-be46-5bf1f3bbf2c6,14 Phere,2021,"45/55"
fa4befa3-9ab4-4dcd-9c4f-7f73c04d1209,Bang Baaja Baaraat,2015,"55/45"
50c6d1b1-b133-409b-90ae-fd1589f8aa46,Love Per Square Foot,2018,"70/30"
441650fb-0d76-4cf1-9cce-7d601b37dfde,Flames,2018,"65/35"
eeb6e410-bd2e-4fa7-adaf-7b4a29f75877,ImMATURE,2019,"40/60"
c8e6f4e3-719b-4ab0-a4f6-153c76106624,You've Got Mail,1998,"75/25"
1fb7da43-4601-49ca-ace0-50596a6605b3,The Ugly Truth,2009,"50/50"
27a66435-d13c-459c-9afa-f80e2981e11b,Sleepless in Seattle,1993,"80/20"
15c5a6d1-5f09-4432-a5ab-5ce73e98db94,The Break-Up,2006,"45/55"
07153c54-620a-4abd-8747-5abccfdeaee8,Wedding Crashers,2005,"30/70"
da82045a-d33d-4404-8028-b0d3c748bf57,The Switch,2010,"60/40"
826fd223-4247-40b2-9659-7fe08e13b076,Shallow Hal,2001,"35/65"
fe8ec301-114d-4440-b65c-473e3d04a3ac,Annie Hall,1977,"55/45"
dabae096-fc8a-4360-872b-d118fbf465d6,The Girl Next Door,2004,"50/50"
e4b61938-4770-48a7-a777-1ae9ffc74dca,Clueless,1995,"40/60"
ad778e90-0ae8-4262-80ff-3acf2ef0b96c,Meet the Parents,2000,"25/75"
c5884e27-43eb-4b88-a5f0-59695ef9eb96,It Could Happen to You,1994,"70/30"
79880d35-7c36-4e49-85c5-ab435a93ab8f,Amélie,2001,"85/15"
29185cf3-f8dc-4df7-b7c6-429418b5da63,About a Boy,2002,"65/35"
d5d9cc75-d92e-46f8-9314-63c3951a4f1b,"I Love You, Man",2009,"20/80"
2ce74778-7ed9-4b04-8332-c133ee55cb00,Monster-in-Law,2005,"45/55"
ca87d202-8b97-4123-8a7b-9c48a4d12bac,Yes Man,2008,"35/65"
5ed0d6ef-e2e1-4c52-9bf2-6f55126b307a,Sex and the City,2008,"75/25"
76f1709e-efbb-4878-8bee-b0940184be7f,Anything Else,2003,"60/40"
05a58f73-b996-430b-8ffa-58834ccd5e4a,Addicted to Love,1997,"55/45"
b808e3fb-e87a-4c7f-a665-53ff5e5dee50,Take Me Home Tonight,2011,"50/50"
c9773fc5-2fa9-4c3f-a053-ac4f80ce74c8,The Invention of Lying,2009,"30/70"
8ddc363b-21e4-4f7e-929f-85794b8d54ff,The Sweetest Thing,2002,"40/60"
bed221c2-bada-4d4a-9906-94d9e95fcd85,My Fake Fiancé,2009,"70/30"
2b3f6547-3500-40c2-ba99-73eefbc1bead,Imagine Me & You,2005,"65/35"
3eb4f8a4-9a37-4946-a9bf-42074671ca3f,The Bounty Hunter,2010,"45/55"
f0951f71-0d94-4979-a7da-02f2aae83b1b,Blended,2014,"50/50"
a3f7cee1-4bec-4012-966c-26f1a17de425,Silver Linings Playbook,2012,"55/45"
c14ae5ae-8801-483b-bc0f-3bd57aea4845,Roxanne,1987,"60/40"
0904163c-74ea-47b3-a224-5b07982fd1f6,Never Been Kissed,1999,"75/25"
1d4bf4ea-76b5-497a-8b41-ca94c648107a,Brown Sugar,2002,"80/20"
21001cf6-cf3b-4825-9a63-faafb079be81,Chasing Amy,1997,"35/65"
877065cd-1dae-421f-a948-9f6a2860d87c,Shakespeare in Love,1998,"70/30"
291aca42-a900-4d36-a1ac-03844b818adc,Enough Said,2013,"60/40"
067b2016-2470-46b8-8354-75744fec2a09,Chocolat,2000,"85/15"
6afebb0b-84d7-4237-ae74-1d326186a4a3,The Princess Bride,1987,"40/60"
7a488029-b5e9-40a3-b644-3720cce1e780,Six Days Seven Nights,1998,"55/45"
387a746c-b661-4184-96e0-964c25f0a500,Bridesmaids,2011,"20/80"
7a38d9a1-9f80-4c81-add7-40f0950f8d91,I Give It a Year,2013,"45/55"
c4c6c948-6af7-4c8a-a692-53b65571af4b,High School Musical,2006,"65/35"
9835e3fd-fb0a-41ff-82f1-8263752d3b29,Save the Date,2012,"75/25"
0bfa72df-da96-4ad4-9240-755a226dc0ee,An Affair to Remember,1957,"90/10"
16084bc7-0b4a-4b1a-85e9-b0ad5caa7c8f,Fool's Gold,2008,"30/70"
3c2554da-fb92-4441-a9fd-6b35ceddbe52,In Her Shoes,2005,"70/30"
9375a247-af03-4222-90b8-01f8e95ed975,Spanglish,2004,"50/50"
5f335317-adb1-4aa6-8b9d-3eaaa6c1d96b,Falling in Love,1984,"85/15"
b6b89b93-810f-4e65-914c-bdf89c01e5dc,Emma,1996,"70/30"
6cdaf9e2-dccd-4a05-be1e-877ed39ae983,Sliding Doors,1998,"55/45"
fc7df536-e176-42c6-bd31-1af34f8b7bf4,What Women Want,2000,"40/60"
b60baf68-2167-418b-9d6e-10afc12352dd,The Princess Diaries,2001,"65/35"
95b59e1d-53e1-4a15-8a5e-da84e2096032,Sixteen Candles,1984,"50/50"
5d676501-e021-48c0-9d7a-3d5ad775e5fe,Legally Blonde,2001,"30/70"
56e47b21-7555-4e41-821e-d2b8c52c7c2c,Some Kind of Wonderful,1987,"60/40"
d06ca016-6bf1-4b00-8676-ff3d9b1dadf0,Roman Holiday,1953,"75/25"
9d780e5f-aca1-4b5b-9fac-166d535639d2,It Happened One Night,1934,"45/55"
37edd562-0ff2-4865-842f-cd19982abb5d,Garden State,2004,"65/35"
def7404b-6cd7-4ff4-ab29-1c7cedddc65f,Before Sunset,2004,"80/20"
e57850b2-fb19-4cc0-850c-d29d8fc913fb,Endless Love,1981,"90/10"
9630fb95-f074-464c-8a71-d210a2c4dfe5,Nine Months,1995,"35/65"
596448a7-7c5b-46c6-b004-0eff26078720,Green Card,1990,"55/45"
d880ae16-a652-4ec4-82ed-61803e5a865c,The Graduate,1967,"40/60"
040383b9-00aa-410e-883c-058f7679ebda,Kate & Leopold,2001,"70/30"
ba26bb1f-0717-4ff9-b335-dda2bf6a29cd,True Romance,1993,"85/15"
5beffd56-82f9-4834-ad45-8e8b9888218f,Heartbreaker,2010,"45/55"
17f24e33-c873-4041-9bdb-9ebcc5a4fa63,The Sure Thing,1985,"35/65"
b19febfc-985c-4203-868e-84d2035118f8,Eat Pray Love,2010,"75/25"
22c6e341-aead-4bfa-9fb3-0c4637a46719,Bird on a Wire,1990,"40/60"
c97a9a1d-ea91-473d-a9cd-6ffb9b6ad52d,The Breakfast Club,1985,"25/75"
a4bd6b70-0a64-4e2f-8fb2-662d2418b55e,The Object of My Affection,1998,"60/40"
2bc58c41-0b0b-49ae-9ebb-ea6d6879cc45,Elizabethtown,2005,"55/45"
dc9e254e-6467-43f8-a728-dd735a49dcfa,Pleasantville,1998,"50/50"
b8a1a1bf-adfc-4575-a35a-60f0ec0cae88,Sabrina,1995,"70/30"
e33e2aef-867d-4c28-bfc8-639d9653d205,Duplex,2003,"40/60"
766de9d5-4242-4782-8159-edeb099029d8,Bull Durham,1988,"55/45"
4acbfaa4-0b0f-479e-be3e-5e9744739b76,HouseSitter,1992,"45/55"
08abf992-2371-4f00-94c6-4b7027f0af65,French Kiss,1995,"65/35"
421f4e7a-390f-4aa9-ae55-47c12deb8f79,Can't Buy Me Love,1987,"60/40"
2c138576-e72d-42e0-ae88-682745ff1d9d,Blast from the Past,1999,"50/50"
58b3ac57-32c8-438f-bc08-71155cbb6920,Benny & Joon,1993,"75/25"
ec31adb0-2e5a-4e9a-92de-eb4e9917bc47,Reality Bites,1994,"55/45"
a5d61059-58c9-4dcd-b08b-fbd6ae20f10a,Little Black Book,2004,"45/55"
1a916045-1555-487c-bd5b-903a5b99f3e2,The Bachelor,1999,"70/30"
50967e80-7f6b-43fb-b43b-d9d7e33589bd,Cocktail,1988,"40/60"
189f00c3-f21b-446b-8844-2e8fa4a87f31,Secret Admirer,1985,"65/35"
3a3266d0-9fee-464b-a26c-98825daf2ef9,Our Family Wedding,2010,"50/50"
d19c2ab5-dcef-4de3-8c54-aea2cf4b2d7d,Sex and the City 2,2010,"60/40"
