Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
29,tt1405365,2014-02-15,2014-02-15,,"Celeste & Jesse Forever","Celeste & Jesse Forever",https://www.imdb.com/title/tt1405365/,Movie,6.6,92,2012,"Comedy, Drama, Romance",34042,2012-08-03,"Lee Toland Krieger"
30,tt0112697,2014-02-15,2014-02-15,,"Clueless","Clueless",https://www.imdb.com/title/tt0112697/,Movie,6.9,97,1995,"Comedy, Romance",249586,1995-07-19,"Amy Heckerling"
31,tt1093908,2014-02-15,2014-02-15,,"Confessions of a Shopaholic","Confessions of a Shopaholic",https://www.imdb.com/title/tt1093908/,Movie,5.8,104,2009,"Comedy, Romance",83604,2009-02-13,"P.J. Hogan"
32,tt1570728,2014-02-15,2014-02-15,,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/,Movie,7.4,118,2011,"Comedy, Drama, Romance",570800,2011-07-29,"Glenn Ficarra, John Requa"
33,tt0466342,2014-02-15,2014-02-15,,"Date Movie","Date Movie",https://www.imdb.com/title/tt0466342/,Movie,2.8,83,2006,"Comedy, Romance",62416,2006-02-17,"Aaron Seltzer, Jason Friedberg"
34,tt1279935,2014-02-15,2014-02-15,,"Date Night","Date Night",https://www.imdb.com/title/tt1279935/,Movie,6.3,88,2010,"Comedy, Crime, Romance, Thriller",173181,2010-04-09,"Shawn Levy"
35,tt0832266,2014-02-15,2014-02-15,,"Definitely, Maybe","Definitely, Maybe",https://www.imdb.com/title/tt0832266/,Movie,7.1,112,2008,"Comedy, Drama, Romance",174128,2008-02-14,"Adam Brooks"
36,tt0458352,2014-02-15,2014-02-15,,"The Devil Wears Prada","The Devil Wears Prada",https://www.imdb.com/title/tt0458352/,Movie,6.9,109,2006,"Comedy, Drama",476483,2006-06-30,"David Frankel"
37,tt1314228,2014-02-15,2014-02-15,,"Did You Hear About the Morgans?","Did You Hear About the Morgans?",https://www.imdb.com/title/tt1314228/,Movie,4.9,103,2009,"Comedy, Drama, Romance",42989,2009-12-18,"Marc Lawrence"
38,tt0164114,2014-02-15,2014-02-15,,"Drive Me Crazy","Drive Me Crazy",https://www.imdb.com/title/tt0164114/,Movie,5.8,91,1999,"Comedy, Drama, Romance",21513,1999-10-01,"John Schultz"
39,tt1282140,2014-02-15,2014-02-15,,"Easy A","Easy A",https://www.imdb.com/title/tt1282140/,Movie,7.0,92,2010,"Comedy, Drama, Romance",421510,2010-09-17,"Will Gluck"
40,tt0368709,2014-02-15,2014-02-15,,"Elizabethtown","Elizabethtown",https://www.imdb.com/title/tt0368709/,Movie,6.3,123,2005,"Comedy, Drama, Romance",73022,2005-10-14,"Cameron Crowe"
41,tt0424993,2014-02-15,2014-02-15,,"Employee of the Month","Employee of the Month",https://www.imdb.com/title/tt0424993/,Movie,5.6,103,2006,"Comedy, Romance",50517,2006-10-06,"Greg Coolidge"
42,tt0338013,2014-02-15,2014-02-15,,"Eternal Sunshine of the Spotless Mind","Eternal Sunshine of the Spotless Mind",https://www.imdb.com/title/tt0338013/,Movie,8.3,108,2004,"Drama, Romance, Sci-Fi",1087633,2004-03-19,"Michel Gondry"
43,tt0120631,2014-02-15,2014-02-15,,"Ever After: A Cinderella Story","Ever After",https://www.imdb.com/title/tt0120631/,Movie,7.1,121,1998,"Drama, Romance",82275,1998-07-31,"Andy Tennant"
44,tt0427229,2014-02-15,2014-02-15,,"Failure to Launch","Failure to Launch",https://www.imdb.com/title/tt0427229/,Movie,5.6,97,2006,"Comedy, Romance",86339,2006-03-10,"Tom Dey"
45,tt0356680,2014-02-15,2014-02-15,,"The Family Stone","The Family Stone",https://www.imdb.com/title/tt0356680/,Movie,6.3,103,2005,"Comedy, Drama, Romance",75561,2005-12-16,"Thomas Bezucha"
46,tt0361620,2014-02-15,2014-02-15,,"First Daughter","First Daughter",https://www.imdb.com/title/tt0361620/,Movie,5.1,106,2004,"Comedy, Drama, Romance",27828,2004-09-24,"Forest Whitaker"
47,tt1195478,2014-02-15,2014-02-15,,"The Five-Year Engagement","The Five-Year Engagement",https://www.imdb.com/title/tt1195478/,Movie,6.2,124,2012,"Comedy, Drama, Romance",102900,2012-04-27,"Nicholas Stoller"
48,tt0817177,2014-02-15,2014-02-15,,"Flipped","Flipped",https://www.imdb.com/title/tt0817177/,Movie,7.7,90,2010,"Comedy, Drama, Romance",98379,2010-09-10,"Rob Reiner"
49,tt0770752,2014-02-15,2014-02-15,,"Fool's Gold","Fool's Gold",https://www.imdb.com/title/tt0770752/,Movie,5.7,112,2008,"Action, Adventure, Comedy, Romance, Thriller",85156,2008-02-08,"Andy Tennant"
50,tt0800039,2014-02-15,2014-02-15,,"Forgetting Sarah Marshall","Forgetting Sarah Marshall",https://www.imdb.com/title/tt0800039/,Movie,7.1,111,2008,"Comedy, Drama, Romance",304320,2008-04-18,"Nicholas Stoller"
51,tt0369436,2014-02-15,2014-02-15,,"Four Christmases","Four Christmases",https://www.imdb.com/title/tt0369436/,Movie,5.7,88,2008,"Comedy, Drama, Romance",81057,2008-11-26,"Seth Gordon"
52,tt0109831,2014-02-15,2014-02-15,,"Four Weddings and a Funeral","Four Weddings and a Funeral",https://www.imdb.com/title/tt0109831/,Movie,7.1,117,1994,"Comedy, Drama, Romance",167880,1994-04-15,"Mike Newell"
53,tt0113117,2014-02-15,2014-02-15,,"French Kiss","French Kiss",https://www.imdb.com/title/tt0113117/,Movie,6.6,111,1995,"Comedy, Drama, Romance",53533,1995-05-05,"Lawrence Kasdan"
54,tt1632708,2014-02-15,2014-02-15,,"Friends with Benefits","Friends with Benefits",https://www.imdb.com/title/tt1632708/,Movie,6.5,109,2011,"Comedy, Romance",397738,2011-07-22,"Will Gluck"
55,tt0192071,2014-02-15,2014-02-15,,"Get Over It","Get Over It",https://www.imdb.com/title/tt0192071/,Movie,5.7,87,2001,"Comedy, Romance",20141,2001-03-09,"Tommy O'Haver"
56,tt0821640,2014-02-15,2014-02-15,,"Ghosts of Girlfriends Past","Ghosts of Girlfriends Past",https://www.imdb.com/title/tt0821640/,Movie,5.8,100,2009,"Comedy, Fantasy, Romance",95073,2009-05-01,"Mark Waters"
57,tt0265208,2014-02-15,2014-02-15,,"The Girl Next Door","The Girl Next Door",https://www.imdb.com/title/tt0265208/,Movie,6.7,109,2004,"Comedy, Drama, Romance",242263,2004-04-09,"Luke Greenfield"
58,tt1322312,2014-02-15,2014-02-15,,"Going the Distance","Going the Distance",https://www.imdb.com/title/tt1322312/,Movie,6.3,102,2010,"Comedy, Romance",60115,2010-09-03,"Nanette Burstein"
59,tt0107048,2014-02-15,2014-02-15,,"Groundhog Day","Groundhog Day",https://www.imdb.com/title/tt0107048/,Movie,8.0,101,1993,"Comedy, Drama, Fantasy, Romance",691081,1993-02-12,"Harold Ramis"
60,tt0192111,2014-02-15,2014-02-15,,"Head Over Heels","Head Over Heels",https://www.imdb.com/title/tt0192111/,Movie,5.4,86,2001,"Comedy, Mystery, Romance",15369,2001-02-02,"Mark Waters"
61,tt0408839,2014-02-15,2014-02-15,,"The Heartbreak Kid","The Heartbreak Kid",https://www.imdb.com/title/tt0408839/,Movie,5.8,116,2007,"Comedy, Romance",96984,2007-10-05,"Bobby Farrelly, Peter Farrelly"
62,tt1001508,2014-02-15,2014-02-15,,"He's Just Not That Into You","He's Just Not That Into You",https://www.imdb.com/title/tt1001508/,Movie,6.4,129,2009,"Comedy, Drama, Romance",183495,2009-02-06,"Ken Kwapis"
63,tt0146882,2014-02-15,2014-02-15,,"High Fidelity","High Fidelity",https://www.imdb.com/title/tt0146882/,Movie,7.4,113,2000,"Comedy, Drama, Music, Romance",191059,2000-03-31,"Stephen Frears"
64,tt2097307,2014-02-15,2014-02-15,,"Hit and Run","Hit and Run",https://www.imdb.com/title/tt2097307/,Movie,6.1,100,2012,"Action, Adventure, Comedy",37632,2012-08-22,"David Palmer, Dax Shepard"
65,tt0386588,2014-02-15,2014-02-15,,"Hitch","Hitch",https://www.imdb.com/title/tt0386588/,Movie,6.6,118,2005,"Comedy, Romance",337148,2005-02-11,"Andy Tennant"
66,tt0457939,2014-02-15,2014-02-15,,"The Holiday","The Holiday",https://www.imdb.com/title/tt0457939/,Movie,6.9,136,2006,"Comedy, Romance",325882,2006-12-08,"Nancy Meyers"
67,tt0852713,2014-02-15,2014-02-15,,"The House Bunny","The House Bunny",https://www.imdb.com/title/tt0852713/,Movie,5.5,97,2008,"Comedy",90989,2008-08-22,"Fred Wolf"
68,tt1341188,2014-02-15,2014-02-15,,"How Do You Know","How Do You Know",https://www.imdb.com/title/tt1341188/,Movie,5.4,121,2010,"Comedy, Drama, Romance",54840,2010-12-17,"James L. Brooks"
69,tt0251127,2014-02-15,2014-02-15,,"How to Lose a Guy in 10 Days","How to Lose a Guy in 10 Days",https://www.imdb.com/title/tt0251127/,Movie,6.5,116,2003,"Comedy, Romance",274117,2003-02-07,"Donald Petrie"
70,tt2244901,2014-02-15,2014-02-15,,"I Give It a Year","I Give It a Year",https://www.imdb.com/title/tt2244901/,Movie,5.7,97,2013,"Comedy, Romance",39546,2013-02-08,"Dan Mazer"
71,tt1032815,2014-02-15,2014-02-15,,"I Love You, Beth Cooper","I Love You, Beth Cooper",https://www.imdb.com/title/tt1032815/,Movie,5.3,102,2009,"Adventure, Comedy, Family, Romance",37660,2009-07-10,"Chris Columbus"
72,tt0388125,2014-02-15,2014-02-15,,"In Her Shoes","In Her Shoes",https://www.imdb.com/title/tt0388125/,Movie,6.5,130,2005,"Comedy, Drama, Romance",65359,2005-10-07,"Curtis Hanson"
73,tt0482527,2014-02-15,2014-02-15,,"It's a Boy Girl Thing","It's a Boy Girl Thing",https://www.imdb.com/title/tt0482527/,Movie,6.2,95,2006,"Comedy, Fantasy, Romance",43009,2006-12-26,"Nick Hurran"
74,tt0385267,2014-02-15,2014-02-15,,"In Good Company","In Good Company",https://www.imdb.com/title/tt0385267/,Movie,6.5,109,2004,"Comedy, Drama, Romance",56654,2005-01-14,"Paul Weitz"
75,tt1230414,2014-02-15,2014-02-15,,"It's Complicated","It's Complicated",https://www.imdb.com/title/tt1230414/,Movie,6.5,120,2009,"Comedy, Drama, Romance",99028,2009-12-25,"Nancy Meyers"
76,tt0804497,2014-02-15,2014-02-15,,"It's Kind of a Funny Story","It's Kind of a Funny Story",https://www.imdb.com/title/tt0804497/,Movie,7.1,101,2010,"Comedy, Drama, Romance",148949,2010-10-08,"Anna Boden, Ryan Fleck"
77,tt0116695,2014-02-15,2014-02-15,,"Jerry Maguire","Jerry Maguire",https://www.imdb.com/title/tt0116695/,Movie,7.3,139,1996,"Comedy, Drama, Romance, Sport",289536,1996-12-13,"Cameron Crowe"
78,tt0455967,2014-02-15,2014-02-15,,"John Tucker Must Die","John Tucker Must Die",https://www.imdb.com/title/tt0455967/,Movie,5.7,89,2006,"Comedy, Romance",88743,2006-07-28,"Betty Thomas"
79,tt0467406,2014-02-15,2014-02-15,,"Juno","Juno",https://www.imdb.com/title/tt0467406/,Movie,7.4,96,2007,"Comedy, Drama",552057,2007-12-25,"Jason Reitman"
80,tt0433400,2014-02-15,2014-02-15,,"Just Friends","Just Friends",https://www.imdb.com/title/tt0433400/,Movie,6.2,96,2005,"Comedy, Romance",128068,2005-11-23,"Roger Kumble"
81,tt1564367,2014-02-15,2014-02-15,,"Just Go with It","Just Go with It",https://www.imdb.com/title/tt1564367/,Movie,6.4,117,2011,"Comedy, Romance",268211,2011-02-11,"Dennis Dugan"
82,tt0425123,2014-02-15,2014-02-15,,"Just Like Heaven","Just Like Heaven",https://www.imdb.com/title/tt0425123/,Movie,6.7,95,2005,"Comedy, Drama, Fantasy, Romance",117965,2005-09-16,"Mark Waters"
83,tt0305711,2014-02-15,2014-02-15,,"Just Married","Just Married",https://www.imdb.com/title/tt0305711/,Movie,5.5,95,2003,"Comedy, Romance",74795,2003-01-10,"Shawn Levy"
84,tt0397078,2014-02-15,2014-02-15,,"Just My Luck","Just My Luck",https://www.imdb.com/title/tt0397078/,Movie,5.5,103,2006,"Comedy, Fantasy, Romance",62030,2006-05-12,"Donald Petrie"
85,tt1407061,2014-02-15,2014-02-15,,"Just Wright","Just Wright",https://www.imdb.com/title/tt1407061/,Movie,5.9,100,2010,"Comedy, Romance, Sport",15760,2010-05-14,"Sanaa Hamri"
86,tt1103153,2014-02-15,2014-02-15,,"Killers","Killers",https://www.imdb.com/title/tt1103153/,Movie,5.4,100,2010,"Action, Comedy, Romance, Thriller",96536,2010-06-04,"Robert Luketic"
87,tt1013743,2014-02-15,2014-02-15,,"Knight and Day","Knight and Day",https://www.imdb.com/title/tt1013743/,Movie,6.3,109,2010,"Action, Adventure, Comedy",211582,2010-06-23,"James Mangold"
88,tt0478311,2014-02-15,2014-02-15,,"Knocked Up","Knocked Up",https://www.imdb.com/title/tt0478311/,Movie,6.9,129,2007,"Comedy, Romance",386786,2007-06-01,"Judd Apatow"
89,tt0323033,2014-02-15,2014-02-15,,"Laws of Attraction","Laws of Attraction",https://www.imdb.com/title/tt0323033/,Movie,5.9,90,2004,"Comedy, Romance",24712,2004-04-30,"Peter Howitt"
90,tt1216492,2014-02-15,2014-02-15,,"Leap Year","Leap Year",https://www.imdb.com/title/tt1216492/,Movie,6.4,100,2010,"Comedy, Romance",111291,2010-01-08,"Anand Tucker"
91,tt0250494,2014-02-15,2014-02-15,,"Legally Blonde","Legally Blonde",https://www.imdb.com/title/tt0250494/,Movie,6.5,96,2001,"Comedy, Romance",252341,2001-07-13,"Robert Luketic"
92,tt0892318,2014-02-15,2014-02-15,,"Letters to Juliet","Letters to Juliet",https://www.imdb.com/title/tt0892318/,Movie,6.5,105,2010,"Adventure, Comedy, Drama, Romance",107894,2010-05-14,"Gary Winick"
93,tt0762114,2014-02-15,2014-02-15,,"License to Wed","License to Wed",https://www.imdb.com/title/tt0762114/,Movie,5.3,91,2007,"Comedy, Romance",40772,2007-07-03,"Ken Kwapis"
94,tt1055292,2014-02-15,2014-02-15,,"Life as We Know It","Life as We Know It",https://www.imdb.com/title/tt1055292/,Movie,6.5,114,2010,"Comedy, Drama, Romance",139616,2010-10-08,"Greg Berlanti"
95,tt0282687,2014-02-15,2014-02-15,,"Life or Something Like It","Life or Something Like It",https://www.imdb.com/title/tt0282687/,Movie,5.8,103,2002,"Comedy, Romance",28257,2002-04-26,"Stephen Herek"
96,tt0361841,2014-02-15,2014-02-15,,"Little Black Book","Little Black Book",https://www.imdb.com/title/tt0361841/,Movie,5.3,107,2004,"Comedy, Drama, Romance",19110,2004-08-06,"Nick Hurran"
97,tt0412922,2014-02-15,2014-02-15,,"Little Manhattan","Little Manhattan",https://www.imdb.com/title/tt0412922/,Movie,7.4,90,2005,"Comedy, Family, Romance",24888,2006-01-05,"Mark Levin"
98,tt1592873,2014-02-15,2014-02-15,,"LOL","LOL",https://www.imdb.com/title/tt1592873/,Movie,4.4,97,2012,"Comedy, Drama, Romance",58345,2012-03-01,"Lisa Azuelos"
99,tt0314331,2014-02-15,2014-02-15,,"Love Actually","Love Actually",https://www.imdb.com/title/tt0314331/,Movie,7.6,135,2003,"Comedy, Drama, Romance",534331,2003-11-14,"Richard Curtis"
100,tt0758752,2014-02-15,2014-02-15,,"Love & Other Drugs","Love & Other Drugs",https://www.imdb.com/title/tt0758752/,Movie,6.7,112,2010,"Comedy, Drama, Romance",226970,2010-11-24,"Edward Zwick"
101,tt0097778,2014-02-15,2014-02-15,,"Look Who's Talking","Look Who's Talking",https://www.imdb.com/title/tt0097778/,Movie,5.9,93,1989,"Comedy",87317,1989-10-13,"Amy Heckerling"
102,tt0409011,2014-02-15,2014-02-15,,"Lovewrecked","Love Wrecked",https://www.imdb.com/title/tt0409011/,Movie,4.8,87,2005,"Adventure, Comedy, Romance",15580,2006-06-08,"Randal Kleiser"
103,tt0866439,2014-02-15,2014-02-15,,"Made of Honor","Made of Honor",https://www.imdb.com/title/tt0866439/,Movie,5.8,101,2008,"Comedy, Romance",76434,2008-05-02,"Paul Weiland"
104,tt0252076,2014-02-15,2014-02-15,,"Maid in Manhattan","Maid in Manhattan",https://www.imdb.com/title/tt0252076/,Movie,5.4,105,2002,"Comedy, Drama, Romance",96900,2002-12-13,"Wayne Wang"
105,tt0795421,2014-02-15,2014-02-15,,"Mamma Mia!","Mamma Mia!",https://www.imdb.com/title/tt0795421/,Movie,6.5,108,2008,"Comedy, Musical, Romance",278392,2008-07-18,"Phyllida Lloyd"
106,tt0433412,2014-02-15,2014-02-15,,"Material Girls","Material Girls",https://www.imdb.com/title/tt0433412/,Movie,3.9,98,2006,"Comedy, Family, Romance",22784,2006-08-18,"Martha Coolidge"
107,tt0290002,2014-02-15,2014-02-15,,"Meet the Fockers","Meet the Fockers",https://www.imdb.com/title/tt0290002/,Movie,6.3,115,2004,"Comedy, Romance",288802,2004-12-22,"Jay Roach"
108,tt0212338,2014-02-15,2014-02-15,,"Meet the Parents","Meet the Parents",https://www.imdb.com/title/tt0212338/,Movie,7.0,108,2000,"Comedy, Romance",358088,2000-10-06,"Jay Roach"
109,tt1605783,2014-02-15,2014-02-15,,"Midnight in Paris","Midnight in Paris",https://www.imdb.com/title/tt1605783/,Movie,7.6,94,2011,"Comedy, Fantasy, Romance",452310,2011-06-10,"Woody Allen"
110,tt0212346,2014-02-15,2014-02-15,,"Miss Congeniality","Miss Congeniality",https://www.imdb.com/title/tt0212346/,Movie,6.3,109,2000,"Action, Comedy, Crime, Romance",232680,2000-12-22,"Donald Petrie"
111,tt1067774,2014-02-15,2014-02-15,,"Monte Carlo","Monte Carlo",https://www.imdb.com/title/tt1067774/,Movie,5.8,109,2011,"Adventure, Comedy, Family, Romance",49096,2011-07-01,"Thomas Bezucha"
112,tt1748122,2014-02-15,2014-02-15,,"Moonrise Kingdom","Moonrise Kingdom",https://www.imdb.com/title/tt1748122/,Movie,7.8,94,2012,"Adventure, Comedy, Drama, Family, Fantasy, Romance",368239,2012-06-29,"Wes Anderson"
113,tt1126618,2014-02-15,2014-02-15,,"Morning Glory","Morning Glory",https://www.imdb.com/title/tt1126618/,Movie,6.5,107,2010,"Comedy, Drama, Romance",83824,2010-11-10,"Roger Michell"
114,tt0758766,2014-02-15,2014-02-15,,"Music and Lyrics","Music and Lyrics",https://www.imdb.com/title/tt0758766/,Movie,6.5,104,2007,"Comedy, Music, Romance",107613,2007-02-14,"Marc Lawrence"
115,tt1046163,2014-02-15,2014-02-15,,"My Best Friend's Girl","My Best Friend's Girl",https://www.imdb.com/title/tt1046163/,Movie,5.8,101,2008,"Comedy, Romance",46647,2008-09-19,"Howard Deutch"
116,tt0119738,2014-02-15,2014-02-15,,"My Best Friend's Wedding","My Best Friend's Wedding",https://www.imdb.com/title/tt0119738/,Movie,6.3,105,1997,"Comedy, Drama, Romance",156881,1997-06-20,"P.J. Hogan"
117,tt0259446,2014-02-15,2014-02-15,,"My Big Fat Greek Wedding","My Big Fat Greek Wedding",https://www.imdb.com/title/tt0259446/,Movie,6.6,95,2002,"Comedy, Drama, Romance",145700,2002-08-02,"Joel Zwick"
118,tt0270980,2014-02-15,2014-02-15,,"My Boss's Daughter","My Boss's Daughter",https://www.imdb.com/title/tt0270980/,Movie,4.7,86,2003,"Comedy, Romance",30761,2003-08-22,"David Zucker"
119,tt0489237,2014-02-15,2014-02-15,,"The Nanny Diaries","The Nanny Diaries",https://www.imdb.com/title/tt0489237/,Movie,6.2,105,2007,"Comedy, Drama, Romance",64564,2007-08-24,"Shari Springer Berman, Robert Pulcini"
120,tt0151738,2014-02-15,2014-02-15,,"Never Been Kissed","Never Been Kissed",https://www.imdb.com/title/tt0151738/,Movie,6.0,107,1999,"Comedy, Drama, Romance",98311,1999-04-09,"Raja Gosnell"
121,tt0244094,2014-02-15,2014-02-15,,"Never Again","Never Again",https://www.imdb.com/title/tt0244094/,Movie,6.1,98,2001,"Comedy, Romance",976,2001-03-11,"Eric Schaeffer"
122,tt1095174,2014-02-15,2014-02-15,,"New in Town","New in Town",https://www.imdb.com/title/tt1095174/,Movie,5.7,97,2009,"Comedy, Romance",25068,2009-01-30,"Jonas Elmer"
123,tt1598822,2014-02-15,2014-02-15,,"New Year's Eve","New Year's Eve",https://www.imdb.com/title/tt1598822/,Movie,5.6,118,2011,"Comedy, Romance",90070,2011-12-09,"Garry Marshall"
124,tt0481141,2014-02-15,2014-02-15,,"No Reservations","No Reservations",https://www.imdb.com/title/tt0481141/,Movie,6.3,104,2007,"Comedy, Drama, Romance",79466,2007-07-27,"Scott Hicks"
125,tt1411238,2014-02-15,2014-02-15,,"No Strings Attached","No Strings Attached",https://www.imdb.com/title/tt1411238/,Movie,6.2,108,2011,"Comedy, Romance",245483,2011-01-21,"Ivan Reitman"
126,tt0125439,2014-02-15,2014-02-15,,"Notting Hill","Notting Hill",https://www.imdb.com/title/tt0125439/,Movie,7.2,124,1999,"Comedy, Drama, Romance",346462,1999-05-28,"Roger Michell"
127,tt0120772,2014-02-15,2014-02-15,,"The Object of My Affection","The Object of My Affection",https://www.imdb.com/title/tt0120772/,Movie,6.0,111,1998,"Comedy, Drama, Romance",21642,1998-04-17,"Nicholas Hytner"
128,tt0117247,2014-02-15,2014-02-15,,"One Fine Day","One Fine Day",https://www.imdb.com/title/tt0117247/,Movie,6.5,108,1996,"Comedy, Drama, Romance",48776,1996-12-20,"Michael Hoffman"
129,tt1305583,2014-02-15,2014-02-15,,"Our Family Wedding","Our Family Wedding",https://www.imdb.com/title/tt1305583/,Movie,5.1,103,2010,"Comedy, Romance",7525,2010-03-12,"Rick Famuyiwa"
