Title,Year
Rumor Has It...,2005
Rye Lane,2023
Set It Up,2018
She's All That,1999
She's The Man,2006
Shotgun Wedding,2022
Single All the Way,2021
Sleeping with Other People,2015
Someone Great,2019
Something Borrowed,2011
Something's Gotta Give,2003
Summer Catch,2001
Sweet Home Alabama,2002
Sydney White,2007
Taylor Swift x Travis Kelce: On The Map,2023
The American President,1995
The Big Wedding,2013
The Broken Hearts Gallery,2020
The Duff,2015
The Family Stone,2005
The Five-Year Engagement,2012
The Hating Game,2021
The Holiday,2006
The Lost City,2022
The Lovebirds,2020
The Map of Tiny Perfect Things,2021
The Nanny Diaries,2007
The Noel Diary,2022
The Other Woman,2014
The Other Zoey,2023
The Princess Switch,2018
The Princess Switch: Switched Again,2020
The Princess Switch: Romancing the Star,2021
The Proposal,2009
The Valet,2022
The Wedding Planner,2005
The Wedding Singer,1998
This Is 40,2012
This Means War,2012
Ticket to Paradise,2022
To All the Boys I've Loved Before,2018
"To All the Boys: Always and Forever, Lara Jean",2021
To All the Boys: P.S. I Still Love You,2020
Trainwreck,2015
Two Night Stand,2014
Valentine's Day,2010
Wedding Season,2022
What A Girl Wants,2003
What Happens in Vegas,2008
What Happens Later,2023
What If,2013
What's Love Got To Do With It?,2023
What Men Want,2019
When Harry Met Sally...,1989
When In Rome,2010
Which Brings Me To You,2023
While You Were Sleeping,1995
Working Girl,1988
You Again,2010
Flipped,2010
Little Manhattan,2005
It's Kind of a Funny Story,2010
Eternal Sunshine of the Spotless Mind,2004
Me and Earl and the Dying Girl,2015
Sing Street,2016
The Art of Getting By,2011
The Fault in Our Stars,2014
The Perks of Being a Wallflower,2012
"Crazy, Stupid, Love.",2011
Me Before You,2016
50/50,2011
Midnight in Paris,2011
Before Sunrise,1995
Stranger Than Fiction,2006
My Girl,1991
Love & Other Drugs,2010
Nick and Norah's Infinite Playlist,2008
Charlie Bartlett,2007
14 Phere,2021
Bang Baaja Baaraat,2015
Love Per Square Foot,2018
Flames,2018
ImMATURE,2019
You've Got Mail,1998
The Ugly Truth,2009
Sleepless in Seattle,1993
The Break-Up,2006
Wedding Crashers,2005
The Switch,2010
Shallow Hal,2001
Annie Hall,1977
The Girl Next Door,2004
Clueless,1995
Meet the Parents,2000
It Could Happen to You,1994
Amélie,2001
About a Boy,2002
"I Love You, Man",2009
Monster-in-Law,2005
Yes Man,2008
Sex and the City,2008
Anything Else,2003
Addicted to Love,1997
Take Me Home Tonight,2011
The Invention of Lying,2009
The Sweetest Thing,2002
My Fake Fiancé,2009
Imagine Me & You,2005
The Bounty Hunter,2010
Blended,2014
Silver Linings Playbook,2012
Roxanne,1987
Never Been Kissed,1999
Brown Sugar,2002
Chasing Amy,1997
Shakespeare in Love,1998
Enough Said,2013
Chocolat,2000
The Princess Bride,1987
Six Days Seven Nights,1998
Bridesmaids,2011
I Give It a Year,2013
High School Musical,2006
Save the Date,2012
An Affair to Remember,1957
Fool's Gold,2008
In Her Shoes,2005
Spanglish,2004
Falling in Love,1984
Emma,1996
Sliding Doors,1998
What Women Want,2000
The Princess Diaries,2001
Sixteen Candles,1984
Legally Blonde,2001
Some Kind of Wonderful,1987
Roman Holiday,1953
It Happened One Night,1934
Garden State,2004
Before Sunset,2004
Endless Love,1981
Nine Months,1995
Green Card,1990
The Graduate,1967
Kate & Leopold,2001
True Romance,1993
Heartbreaker,2010
The Sure Thing,1985
Eat Pray Love,2010
Bird on a Wire,1990
The Breakfast Club,1985
The Object of My Affection,1998
Elizabethtown,2005
Pleasantville,1998
Sabrina,1995
Duplex,2003
Bull Durham,1988
HouseSitter,1992
French Kiss,1995
Can't Buy Me Love,1987
Blast from the Past,1999
Benny & Joon,1993
Reality Bites,1994
Little Black Book,2004
The Bachelor,1999
Cocktail,1988
Secret Admirer,1985
Our Family Wedding,2010
Sex and the City 2,2010
Forgetting Sarah Marshall,2008
License to Wed,2007
Blind Date,1987
40 Days and 40 Nights,2002
The Back-up Plan,2010
The Heartbreak Kid,2007
Picture Perfect,1997
Did You Hear About the Morgans?,2009
The Prince and Me,2004
Two Can Play That Game,2001
Love Don't Cost a Thing,2003
A Lot Like Love,2005
Boys and Girls,2000
Just Wright,2010
My Best Friend's Girl,2008
Waitress,2007
Laws of Attraction,2004
Drive Me Crazy,1999
Win a Date with Tad Hamilton!,2004
Serving Sara,2002
That Old Feeling,1997
The Perfect Man,2005
A Guy Thing,2003
Life or Something Like It,2002
The Pick-up Artist,1987
Chasing Liberty,2004
The Last Kiss,2006
Get Over It,2001
Something New,2006
First Daughter,2004
Never Again,2001
The Romantics,2010
What Women Want,2011
All Over the Guy,2001
Crush,2001
Head Over Heels,2001
Whatever It Takes,2000
My Life in Ruins,2009
Boat Trip,2002
On the Line,2001
No Hard Feelings,2023
